,title,start,end,num,answer_date
0,“정부아이돌봄서비스 아이돌보미 영유아 폭행 강력 처벌 및 재발방지방안 수립을 부탁합니다.”(14개월 아기가 아이돌보미에게  폭행을 당했습니다.),2019-04-01,2019-05-01,271748,2019-04-26
1,소방공무원을 국가직으로 전환해주세요,2019-04-05,2019-05-05,299117,2019-04-24
2,어머니를 살해한 음주운전자에게 솜방망이 처벌이 내려졌습니다. 제발 도와주세요.,2019-02-28,2019-03-30,225638,2019-04-19
3,비리 수사 중임에도 불구하고 교육청 시정 명령까지 무시하고 끝까지 자신의 잘못을 인정하지 않는 ******고등학교 교장을 사법결과 나오기 전에 직무정지 시켜 주세요,2019-02-21,2019-03-23,214658,2019-04-18
4,안녕하세요. 증인 윤지오입니다.,2019-03-30,2019-04-29,318057,2019-04-01
5,심신미약 피의자에 의해 죽게된 우리 딸 억울하지 않게 해주세요,2018-10-18,2018-11-17,216834,2019-03-20
6,故장자연씨의 수사 기간 연장 및 재수사를 청원합니다.,2019-03-12,2019-04-11,738566,2019-03-18
7,고 장자연씨 관련 증언한 윤**씨 신변보호 청원,2019-03-08,2019-04-07,386506,2019-03-18
8,"공공연한 여성 대상 약물 범죄 처벌과 ***을 비롯한 클럽, 유흥업소와 경찰 간의 유착에 대한 제대로 된 수사 및 처벌을 하라",2019-01-29,2019-02-28,207784,2019-03-18
9,"경사 ***, 경장 *** 외 ***에서 뇌물받는지 조사부탁드립니다.",2019-01-29,2019-02-28,312197,2019-03-18
10,동전택시기사사망사건. 철저한 수사와 엄정하고 강력한 처벌을 촉구합니다. 저희 아버님의 억울함을 풀어주세요.,2019-02-15,2019-03-17,211339,2019-03-15
11,영광 여고생 사건 가해자들 강력 처벌해주새요,2019-02-19,2019-03-21,217786,2019-03-15
12,우리 아들 **이의 억울함을 풀어주세요.,2019-02-18,2019-03-20,255113,2019-03-15
13,"시민의 이름으로, 이번 김경수 지사 재판에 관련된 법원 판사 전원의 사퇴를 명령합니다.",2019-01-30,2019-03-01,270999,2019-03-15
14,여.야는 속히 공수처 신설하라 !!!,2019-01-07,2019-02-06,302856,2019-02-22
